,Characters,Answer
ㄊㄧㄢㄅㄧ,掭筆,False
ㄊㄧㄢㄅㄨ,填補/天步,False
ㄊㄧㄢㄆㄣ,添盆,False
ㄊㄧㄢㄆㄥ,天棚,False
ㄊㄧㄢㄇㄚ,天馬/天麻,False
ㄊㄧㄢㄇㄛ,天末,False
ㄊㄧㄢㄇㄟ,甜美,False
ㄊㄧㄢㄇㄠ,靦冒,False
ㄊㄧㄢㄇㄢ,填滿,False
ㄊㄧㄢㄇㄣ,天門,False
ㄊㄧㄢㄇㄤ,添忙,False
ㄊㄧㄢㄇㄧ,甜蜜/恬謐,True
ㄊㄧㄢㄇㄨ,天幕,False
ㄊㄧㄢㄈㄚ,填發/天罰,False
ㄊㄧㄢㄈㄟ,天飛/天妃,False
ㄊㄧㄢㄈㄣ,天分/添墳,False
ㄊㄧㄢㄈㄤ,天方/天放,False
ㄊㄧㄢㄈㄨ,天賦/天父,False
ㄊㄧㄢㄉㄚ,天大,False
ㄊㄧㄢㄉㄜ,天德,False
ㄊㄧㄢㄉㄠ,天道/天道,False
ㄊㄧㄢㄉㄡ,甜豆,False
ㄊㄧㄢㄉㄢ,天膽/田單,False
ㄊㄧㄢㄉㄥ,天燈,False
ㄊㄧㄢㄉㄧ,天地/田地,False
ㄊㄧㄢㄉㄨ,天都,False
ㄊㄧㄢㄊㄞ,天台/天臺,False
ㄊㄧㄢㄊㄡ,甜頭/田頭,False
ㄊㄧㄢㄊㄢ,天壇/舔舕,False
ㄊㄧㄢㄊㄤ,天堂,False
ㄊㄧㄢㄊㄧ,天體/天梯,False
ㄊㄧㄢㄋㄧ,天倪/甜膩,False
ㄊㄧㄢㄋㄨ,天怒,False
ㄊㄧㄢㄋㄩ,天女,False
ㄊㄧㄢㄌㄜ,天樂,False
ㄊㄧㄢㄌㄞ,天籟,False
ㄊㄧㄢㄌㄟ,天雷/忝累,False
ㄊㄧㄢㄌㄠ,天老/天牢,False
ㄊㄧㄢㄌㄤ,天狼,False
ㄊㄧㄢㄌㄧ,天理/田里,False
ㄊㄧㄢㄌㄨ,天路/天祿,False
ㄊㄧㄢㄍㄜ,天戈,False
ㄊㄧㄢㄍㄠ,天高,False
ㄊㄧㄢㄍㄡ,天狗/天溝,False
ㄊㄧㄢㄍㄢ,天干/甜甘,False
ㄊㄧㄢㄍㄤ,天綱/天罡,False
ㄊㄧㄢㄍㄥ,田埂,False
ㄊㄧㄢㄍㄨ,天骨/田穀,False
ㄊㄧㄢㄎㄜ,田客,False
ㄊㄧㄢㄏㄜ,天和/天河,False
ㄊㄧㄢㄏㄞ,填海,True
ㄊㄧㄢㄏㄟ,天黑,False
ㄊㄧㄢㄏㄡ,天后/天候,True
ㄊㄧㄢㄏㄢ,天漢/天寒,False
ㄊㄧㄢㄏㄥ,田橫,False
ㄊㄧㄢㄏㄨ,田戶,False
ㄊㄧㄢㄐㄧ,天際/田雞,False
ㄊㄧㄢㄑㄧ,天氣/天啟,True
ㄊㄧㄢㄑㄩ,天趣/天衢,False
ㄊㄧㄢㄒㄧ,天喜/田畦,False
ㄊㄧㄢㄓㄡ,天軸,False
ㄊㄧㄢㄓㄣ,天真,False
ㄊㄧㄢㄓㄤ,天章,False
ㄊㄧㄢㄓㄨ,天主/天柱,False
ㄊㄧㄢㄔㄠ,天朝,False
ㄊㄧㄢㄔㄡ,田疇,False
ㄊㄧㄢㄔㄢ,天產/田產,False
ㄊㄧㄢㄔㄤ,天常,False
ㄊㄧㄢㄔㄥ,天成/田塍,False
ㄊㄧㄢㄔㄨ,天廚,False
ㄊㄧㄢㄕㄜ,田舍,False
ㄊㄧㄢㄕㄡ,天授/添壽,False
ㄊㄧㄢㄕㄢ,天山,False
ㄊㄧㄢㄕㄣ,天神,False
ㄊㄧㄢㄕㄤ,天上,True
ㄊㄧㄢㄕㄥ,天生/天聲,False
ㄊㄧㄢㄕㄨ,天書/天數,False
ㄊㄧㄢㄕㄩ,天使魚,False
ㄊㄧㄢㄖㄢ,天然/填然,True
ㄊㄧㄢㄖㄣ,天人,False
ㄊㄧㄢㄖㄤ,天壤,False
ㄊㄧㄢㄗㄜ,天擇/天澤,False
ㄊㄧㄢㄗㄞ,天災,False
ㄊㄧㄢㄗㄠ,天造/添造,False
ㄊㄧㄢㄗㄤ,天葬,False
ㄊㄧㄢㄗㄥ,添增/腆贈,False
ㄊㄧㄢㄗㄨ,天足/天阻,False
ㄊㄧㄢㄘㄞ,天才/甜菜,True
ㄊㄧㄢㄘㄠ,天曹,False
ㄊㄧㄢㄘㄢ,天殘/天蠶,False
ㄊㄧㄢㄘㄤ,添倉/填倉,False
ㄊㄧㄢㄙㄙ,甜絲絲,False
ㄊㄧㄢㄙㄜ,天色/填塞,False
ㄊㄧㄢㄙㄞ,田賽,False
ㄊㄧㄢㄧㄚ,天涯/填鴨,False
ㄊㄧㄢㄧㄝ,田野/填咽,False
ㄊㄧㄢㄧㄡ,天祐,False
ㄊㄧㄢㄧㄢ,天眼/天演,False
ㄊㄧㄢㄧㄤ,天樣,False
ㄊㄧㄢㄨㄞ,天外,False
ㄊㄧㄢㄨㄟ,天位/天威,False
ㄊㄧㄢㄨㄣ,天文/天問,False
ㄊㄧㄢㄨㄤ,天王/天網,False
ㄊㄧㄢㄩㄝ,天樂,False
ㄊㄧㄢㄩㄢ,天緣/天淵,False
ㄊㄧㄢㄩㄣ,天運/天韻,False
ㄊㄧㄣㄊㄧ,梯恩梯,False
ㄊㄧㄥㄅㄚ,停罷/挺拔,False
ㄊㄧㄥㄅㄛ,停泊,False
ㄊㄧㄥㄅㄞ,停擺,False
ㄊㄧㄥㄅㄟ,停杯,False
ㄊㄧㄥㄅㄢ,停辦/停版,False
ㄊㄧㄥㄅㄧ,停筆/停閉,False
ㄊㄧㄥㄅㄨ,停步,False
ㄊㄧㄥㄆㄞ,聽牌,False
ㄊㄧㄥㄇㄠ,挺矛,False
ㄊㄧㄥㄈㄣ,停分,False
ㄊㄧㄥㄈㄤ,停放/廳房,False
ㄊㄧㄥㄈㄥ,停俸,False
ㄊㄧㄥㄈㄨ,庭府,False
ㄊㄧㄥㄉㄞ,停待,False
ㄊㄧㄥㄉㄤ,停當,False
ㄊㄧㄥㄉㄥ,桯凳,False
ㄊㄧㄥㄉㄧ,停睇,False
ㄊㄧㄥㄉㄨ,亭毒,False
ㄊㄧㄥㄊㄞ,亭臺,False
ㄊㄧㄥㄊㄡ,聽頭/停頭,False
ㄊㄧㄥㄊㄤ,廳堂,False
ㄊㄧㄥㄋㄥ,聽能,False
ㄊㄧㄥㄌㄠ,聽老/停潦,False
ㄊㄧㄥㄌㄧ,聽力/挺立,False
ㄊㄧㄥㄍㄜ,停格,False
ㄊㄧㄥㄍㄠ,庭誥/亭皋,False
ㄊㄧㄥㄍㄨ,聽骨/聽鼓,False
ㄊㄧㄥㄎㄜ,停課/聽課,False
ㄊㄧㄥㄎㄠ,停靠,False
ㄊㄧㄥㄎㄢ,停刊,False
ㄊㄧㄥㄏㄚ,聽哈,False
ㄊㄧㄥㄏㄜ,聽喝,False
ㄊㄧㄥㄏㄡ,聽候,False
ㄊㄧㄥㄏㄤ,停航,False
ㄊㄧㄥㄏㄨ,庭戶,False
ㄊㄧㄥㄐㄧ,霆擊,False
ㄊㄧㄥㄐㄩ,挺舉,False
ㄊㄧㄥㄑㄩ,聽取/汀曲,False
ㄊㄧㄥㄒㄧ,聽戲/停息,False
ㄊㄧㄥㄓㄡ,汀洲/汀州,False
ㄊㄧㄥㄓㄢ,停戰,False
ㄊㄧㄥㄓㄣ,聽診,False
ㄊㄧㄥㄓㄤ,聽障/廳長,False
ㄊㄧㄥㄓㄥ,聽政/聽證,False
ㄊㄧㄥㄓㄨ,停住/挺住,False
ㄊㄧㄥㄔㄜ,停車,False
ㄊㄧㄥㄔㄞ,聽差,False
ㄊㄧㄥㄔㄢ,停產/聽讒,False
ㄊㄧㄥㄔㄣ,聽沉,False
ㄊㄧㄥㄔㄤ,亭場,False
ㄊㄧㄥㄔㄨ,聽除/庭除,False
ㄊㄧㄥㄕㄜ,廳舍,False
ㄊㄧㄥㄕㄡ,聽手/聽受,False
ㄊㄧㄥㄕㄣ,挺身/聽審,False
ㄊㄧㄥㄕㄤ,庭上,False
ㄊㄧㄥㄕㄥ,挺生,False
ㄊㄧㄥㄕㄨ,聽書,False
ㄊㄧㄥㄖㄢ,挺然,False
ㄊㄧㄥㄖㄣ,聽人/聽任,False
ㄊㄧㄥㄖㄨ,廷辱,False
ㄊㄧㄥㄘㄞ,亭彩,False
ㄊㄧㄥㄘㄢ,停驂,False
ㄊㄧㄥㄙㄤ,停喪,False
ㄊㄧㄥㄧㄝ,停業,False
ㄊㄧㄥㄧㄠ,挺腰,False
ㄊㄧㄥㄧㄡ,聽友,False
ㄊㄧㄥㄧㄥ,汀瀅,False
ㄊㄧㄥㄨㄟ,庭闈/廷尉,False
ㄊㄧㄥㄨㄣ,聽聞,True
ㄊㄧㄥㄩㄢ,庭園/庭院,False
ㄊㄧㄥㄩㄣ,停雲/停勻,False
ㄊㄧㄥㄩㄥ,聽用/停用,False
ㄊㄧㄧㄤㄦ,體樣兒,False
ㄊㄧㄩㄔㄤ,體育場,False
ㄊㄨㄅㄛㄕ,土博士,False
ㄊㄨㄅㄠㄗ,土包子,False
ㄊㄨㄅㄧㄠ,圖表,False
ㄊㄨㄅㄧㄢ,突變,False
ㄊㄨㄅㄧㄥ,土兵/徒兵,False
ㄊㄨㄆㄧㄢ,圖片,False
ㄊㄨㄆㄧㄥ,土平,False
ㄊㄨㄇㄧㄝ,屠滅,False
ㄊㄨㄈㄣㄗ,土粉子,False
ㄊㄨㄈㄤㄗ,土房子,False
ㄊㄨㄈㄥㄨ,土風舞,False
ㄊㄨㄉㄧㄠ,土調,False
ㄊㄨㄉㄧㄥ,圖釘/禿頂,False
ㄊㄨㄉㄨㄛ,圖度,False
ㄊㄨㄉㄨㄟ,土堆,False
ㄊㄨㄉㄨㄣ,土遁,False
ㄊㄨㄊㄧㄠ,兔跳,False
ㄊㄨㄊㄨㄛ,兔脫,False
ㄊㄨㄊㄨㄟ,吐退,False
ㄊㄨㄊㄨㄣ,土豚,False
ㄊㄨㄋㄧㄡ,土牛,False
ㄊㄨㄌㄠㄦ,土老兒,False
ㄊㄨㄌㄧㄠ,塗料/荼蓼,False
ㄊㄨㄌㄧㄡ,吐溜,False
ㄊㄨㄌㄧㄤ,吐良,False
ㄊㄨㄌㄨㄥ,土龍/屠龍,False
ㄊㄨㄍㄠㄗ,兔羔子,False
ㄊㄨㄍㄨㄗ,屠沽子,False
ㄊㄨㄍㄨㄢ,土官,False
ㄊㄨㄍㄨㄣ,土棍,False
ㄊㄨㄍㄨㄥ,圖工/土貢,False
ㄊㄨㄍㄨㄦ,屠沽兒,False
ㄊㄨㄎㄜㄗ,禿科子,False
ㄊㄨㄎㄨㄞ,土塊,False
ㄊㄨㄎㄨㄟ,菟葵,False
ㄊㄨㄎㄨㄥ,土空,False
ㄊㄨㄏㄨㄚ,土話/圖畫,False
ㄊㄨㄏㄨㄛ,突火/吐火,False
ㄊㄨㄏㄨㄟ,土灰/圖繪,False
ㄊㄨㄏㄨㄤ,土黃/土蝗,False
ㄊㄨㄐㄧㄚ,屠家,False
ㄊㄨㄐㄧㄝ,圖解/土芥,False
ㄊㄨㄐㄧㄡ,禿鷲,False
ㄊㄨㄐㄧㄢ,圖鑑,False
ㄊㄨㄐㄧㄣ,突進/塗金,False
ㄊㄨㄐㄧㄥ,途徑/途經,False
ㄊㄨㄐㄩㄝ,突厥,False
ㄊㄨㄑㄧㄠ,土橋,False
ㄊㄨㄑㄧㄡ,土丘/禿鶖,False
ㄊㄨㄑㄧㄤ,土牆/土腔,False
ㄊㄨㄑㄩㄝ,兔缺,False
ㄊㄨㄒㄧㄝ,圖寫/塗寫,False
ㄊㄨㄒㄧㄢ,凸顯/突顯,False
ㄊㄨㄒㄧㄤ,圖像/土香,False
ㄊㄨㄒㄧㄥ,土星/徒行,True
ㄊㄨㄒㄩㄝ,土穴,False
ㄊㄨㄓㄨㄤ,凸狀,False
ㄊㄨㄓㄨㄥ,途中/徒眾,True
ㄊㄨㄔㄨㄣ,兔脣,False
ㄊㄨㄔㄨㄤ,禿瘡,False
ㄊㄨㄕㄨㄕ,圖書室,False
ㄊㄨㄕㄨㄚ,塗刷,False
ㄊㄨㄕㄨㄛ,圖說/塗說,False
ㄊㄨㄗㄞㄗ,兔崽子,False
ㄊㄨㄗㄨㄛ,土作,False
ㄊㄨㄗㄨㄩ,土族語,False
ㄊㄨㄘㄨㄛ,土銼,False
ㄊㄨㄘㄨㄟ,瘏悴,False
ㄊㄨㄘㄨㄣ,圖存,False
ㄊㄨㄙㄨㄟ,吐穗,False
ㄊㄨㄛㄅㄚ,拖把/脫靶,False
ㄊㄨㄛㄅㄛ,拖駁/脫膊,False
ㄊㄨㄛㄅㄟ,駝背,False
ㄊㄨㄛㄅㄢ,拖班/脫班,False
ㄊㄨㄛㄅㄧ,橐筆/託庇,False
ㄊㄨㄛㄅㄨ,拖步,False
ㄊㄨㄛㄆㄢ,托盤,False
ㄊㄨㄛㄆㄧ,脫皮,False
ㄊㄨㄛㄇㄚ,唾罵/馱馬,False
ㄊㄨㄛㄇㄛ,拖磨/托墨,False
ㄊㄨㄛㄇㄠ,脫毛/脫帽,False
ㄊㄨㄛㄇㄣ,它們/脫悶,False
ㄊㄨㄛㄇㄥ,托夢/託夢,False
ㄊㄨㄛㄈㄚ,脫髮,False
ㄊㄨㄛㄈㄢ,拖翻/駝販,False
ㄊㄨㄛㄈㄥ,託諷/駝峰,False
ㄊㄨㄛㄈㄨ,托福/託福,False
ㄊㄨㄛㄉㄚ,托大/託大,False
ㄊㄨㄛㄉㄞ,拖帶,False
ㄊㄨㄛㄉㄡ,拖逗,False
ㄊㄨㄛㄉㄢ,托膽,False
ㄊㄨㄛㄉㄤ,妥當/脫黨,False
ㄊㄨㄛㄉㄧ,拖地/托地,False
ㄊㄨㄛㄊㄚ,拖沓,False
ㄊㄨㄛㄊㄞ,脫胎/托胎,False
ㄊㄨㄛㄊㄠ,脫逃,False
ㄊㄨㄛㄊㄧ,脫體,False
ㄊㄨㄛㄊㄨ,脫兔,False
ㄊㄨㄛㄋㄢ,脫難,False
ㄊㄨㄛㄌㄚ,拖拉/脫蠟,False
ㄊㄨㄛㄌㄞ,托賴/託賴,False
ㄊㄨㄛㄌㄟ,拖累/拖雷,False
ㄊㄨㄛㄌㄡ,脫漏,False
ㄊㄨㄛㄌㄢ,脫懶,False
ㄊㄨㄛㄌㄧ,脫離/脫粒,False
ㄊㄨㄛㄌㄨ,駝鹿,False
ㄊㄨㄛㄍㄠ,脫稿,False
ㄊㄨㄛㄍㄡ,拖鉤,False
ㄊㄨㄛㄍㄤ,脫肛,False
ㄊㄨㄛㄍㄥ,鼉更,False
ㄊㄨㄛㄍㄨ,託故/鼉鼓,False
ㄊㄨㄛㄎㄜ,脫殼,False
ㄊㄨㄛㄎㄠ,妥靠,False
ㄊㄨㄛㄎㄡ,脫口,False
ㄊㄨㄛㄏㄢ,脫汗,False
ㄊㄨㄛㄏㄨ,唾壺,False
ㄊㄨㄛㄐㄧ,脫籍/託跡,False
ㄊㄨㄛㄑㄧ,唾棄/脫期,False
ㄊㄨㄛㄒㄧ,脫屣/蘀兮,False
ㄊㄨㄛㄒㄩ,脫序,False
ㄊㄨㄛㄓㄢ,拓展,False
ㄊㄨㄛㄔㄚ,沱茶,False
ㄊㄨㄛㄔㄜ,拖車/拖扯,False
ㄊㄨㄛㄔㄡ,脫臭,False
ㄊㄨㄛㄔㄢ,脫產,False
ㄊㄨㄛㄔㄤ,脫腸,False
ㄊㄨㄛㄔㄨ,脫除,False
ㄊㄨㄛㄕㄡ,脫手/唾手,False
ㄊㄨㄛㄕㄢ,妥善,False
ㄊㄨㄛㄕㄣ,脫身/託身,False
ㄊㄨㄛㄕㄥ,托生/託生,False
ㄊㄨㄛㄕㄨ,托熟,False
ㄊㄨㄛㄖㄢ,脫然,False
ㄊㄨㄛㄗㄨ,托足/託足,False
ㄊㄨㄛㄙㄜ,脫色/托色,False
ㄊㄨㄛㄙㄞ,托腮,False
ㄊㄨㄛㄙㄨ,脫俗/脫粟,False
ㄊㄨㄛㄧㄝ,拖曳/拖拽,False
ㄊㄨㄛㄧㄡ,托幼,False
ㄊㄨㄛㄧㄢ,拖延/託言,True
ㄊㄨㄛㄧㄣ,脫陰,False
ㄊㄨㄛㄧㄤ,脫陽/脫氧,False
ㄊㄨㄛㄧㄥ,脫穎,False
ㄊㄨㄛㄨㄟ,脫位,False
ㄊㄨㄛㄨㄣ,脫文,False
ㄊㄨㄛㄨㄤ,拖網,False
ㄊㄨㄛㄩㄝ,橐籥,False
ㄊㄨㄛㄩㄢ,妥員/駝員,False
ㄊㄨㄛㄩㄣ,託運,False
ㄊㄨㄛㄩㄥ,脫蛹,False
ㄊㄨㄟㄅㄛ,頹波,False
ㄊㄨㄟㄅㄞ,頹敗,False
ㄊㄨㄟㄅㄠ,退保/推鉋,False
ㄊㄨㄟㄅㄧ,退筆/退避,False
ㄊㄨㄟㄅㄨ,退步/推步,False
ㄊㄨㄟㄆㄞ,推派,False
ㄊㄨㄟㄆㄟ,退賠,False
ㄊㄨㄟㄆㄧ,蛻皮/頹圮,False
ㄊㄨㄟㄇㄛ,推磨,False
ㄊㄨㄟㄇㄧ,頹靡,False
ㄊㄨㄟㄈㄚ,腿法,False
ㄊㄨㄟㄈㄟ,頹廢/退費,False
ㄊㄨㄟㄈㄢ,推翻,False
ㄊㄨㄟㄈㄤ,頹放/退房,False
ㄊㄨㄟㄈㄥ,頹風,False
ㄊㄨㄟㄈㄨ,推服,False
ㄊㄨㄟㄉㄞ,腿帶/推戴,False
ㄊㄨㄟㄉㄠ,推倒/推導,False
ㄊㄨㄟㄉㄤ,推宕,False
ㄊㄨㄟㄉㄧ,退敵,False
ㄊㄨㄟㄊㄠ,腿套,False
ㄊㄨㄟㄊㄡ,推頭,False
ㄊㄨㄟㄊㄤ,推搪/退堂,False
ㄊㄨㄟㄋㄚ,推拿,False
ㄊㄨㄟㄌㄠ,退老,False
ㄊㄨㄟㄌㄧ,推理/推力,False
ㄊㄨㄟㄌㄨ,退路,False
ㄊㄨㄟㄍㄠ,退稿,False
ㄊㄨㄟㄍㄢ,推桿,False
ㄊㄨㄟㄍㄨ,退股/推故,False
ㄊㄨㄟㄎㄞ,推開,False
ㄊㄨㄟㄎㄢ,推勘,False
ㄊㄨㄟㄏㄡ,退後,False
ㄊㄨㄟㄐㄧ,推及/推激,False
ㄊㄨㄟㄐㄩ,退居/推舉,False
ㄊㄨㄟㄑㄧ,頹氣,False
ㄊㄨㄟㄒㄧ,退息/退席,False
ㄊㄨㄟㄒㄩ,推許,False
ㄊㄨㄟㄓㄢ,推展,False
ㄊㄨㄟㄓㄣ,退針,False
ㄊㄨㄟㄔㄜ,推車,False
ㄊㄨㄟㄔㄠ,退潮,False
ㄊㄨㄟㄔㄤ,退場,False
ㄊㄨㄟㄔㄥ,推稱,False
ㄊㄨㄟㄔㄨ,推出/退出,True
ㄊㄨㄟㄕㄠ,退燒,False
ㄊㄨㄟㄕㄡ,推手/退守,False
ㄊㄨㄟㄕㄢ,推山,False
ㄊㄨㄟㄖㄜ,退熱,False
ㄊㄨㄟㄖㄢ,頹然/隤然,False
ㄊㄨㄟㄖㄣ,頹人/推刃,False
ㄊㄨㄟㄖㄤ,退讓/推讓,False
ㄊㄨㄟㄗㄡ,退走,False
ㄊㄨㄟㄗㄨ,推阻/退租,False
ㄊㄨㄟㄘㄜ,推測,False
ㄊㄨㄟㄙㄜ,退色,False
ㄊㄨㄟㄙㄤ,頹喪,False
ㄊㄨㄟㄧㄢ,推演/推驗,False
ㄊㄨㄟㄧㄣ,推因/退隱,False
ㄊㄨㄟㄧㄤ,頹陽,False
ㄊㄨㄟㄨㄟ,退位/推委,False
ㄊㄨㄟㄨㄢ,推挽/推輓,False
ㄊㄨㄟㄨㄣ,推問,False
ㄊㄨㄟㄩㄣ,頹運/隤隕,False
ㄊㄨㄢㄅㄛ,團剝,False
ㄊㄨㄢㄅㄞ,團拜,False
ㄊㄨㄢㄆㄞ,團牌,False
ㄊㄨㄢㄈㄟ,團匪,False
ㄊㄨㄢㄈㄢ,摶飯,False
ㄊㄨㄢㄈㄥ,摶風,False
ㄊㄨㄢㄊㄡ,團頭,False
ㄊㄨㄢㄊㄧ,團體,True
ㄊㄨㄢㄌㄞ,湍瀨,False
ㄊㄨㄢㄌㄧ,團粒,False
ㄊㄨㄢㄎㄤ,團康,False
ㄊㄨㄢㄏㄜ,團荷,False
ㄊㄨㄢㄏㄤ,團行,False
ㄊㄨㄢㄐㄧ,湍急,False
ㄊㄨㄢㄐㄩ,團聚,False
ㄊㄨㄢㄑㄧ,團契/團臍,False
ㄊㄨㄢㄓㄜ,團著,False
ㄊㄨㄢㄓㄤ,團長,False
ㄊㄨㄢㄓㄨ,團主,False
ㄊㄨㄢㄔㄚ,團茶,False
ㄊㄨㄢㄕㄚ,摶沙,False
ㄊㄨㄢㄕㄜ,團社,False
ㄊㄨㄢㄕㄢ,團扇,False
ㄊㄨㄢㄕㄨ,團書,False
ㄊㄨㄢㄗㄠ,團藻,False
ㄊㄨㄢㄧㄣ,團音,False
ㄊㄨㄢㄨㄟ,團圍,False
ㄊㄨㄢㄩㄢ,團圓/團員,False
ㄊㄨㄢㄩㄥ,團勇,False
ㄊㄨㄣㄅㄛ,吞剝/褪膊,False
ㄊㄨㄣㄅㄨ,臀部,False
ㄊㄨㄣㄆㄛ,豚拍,False
ㄊㄨㄣㄇㄛ,吞沒,False
ㄊㄨㄣㄇㄠ,褪毛,False
ㄊㄨㄣㄈㄨ,吞服,False
ㄊㄨㄣㄊㄚ,囤塌,False
ㄊㄨㄣㄊㄡ,屯頭,False
ㄊㄨㄣㄊㄢ,吞炭/涒灘,False
ㄊㄨㄣㄊㄨ,吞吐,False
ㄊㄨㄣㄎㄡ,褪口,False
ㄊㄨㄣㄎㄣ,屯墾,False
ㄊㄨㄣㄏㄣ,吞恨,False
ㄊㄨㄣㄐㄧ,囤積/屯積,False
ㄊㄨㄣㄐㄩ,囤聚/屯聚,False
ㄊㄨㄣㄑㄧ,吞氣/臀鰭,False
ㄊㄨㄣㄑㄩ,褪去,False
ㄊㄨㄣㄓㄚ,屯紮/豚柵,False
ㄊㄨㄣㄓㄡ,吞舟,False
ㄊㄨㄣㄓㄨ,屯駐,False
ㄊㄨㄣㄔㄜ,軘車,False
ㄊㄨㄣㄕㄜ,吞舌,False
ㄊㄨㄣㄕㄥ,吞聲,False
ㄊㄨㄣㄕㄨ,豚鼠,False
ㄊㄨㄣㄙㄜ,褪色,False
ㄊㄨㄣㄧㄡ,臀疣,False
ㄊㄨㄣㄧㄢ,吞煙/吞嚥,False
ㄊㄨㄣㄨㄟ,臀圍,False
ㄊㄨㄥㄅㄚ,銅鈸,False
ㄊㄨㄥㄅㄟ,同輩,False
ㄊㄨㄥㄅㄠ,同胞/通報,True
ㄊㄨㄥㄅㄢ,同班/同伴,True
ㄊㄨㄥㄅㄤ,同榜,False
ㄊㄨㄥㄅㄧ,銅幣/童婢,False
ㄊㄨㄥㄅㄨ,同步/橦布,True
ㄊㄨㄥㄆㄞ,銅牌,False
ㄊㄨㄥㄆㄠ,同袍,False
ㄊㄨㄥㄆㄢ,通判/通盤,False
ㄊㄨㄥㄆㄥ,通膨,False
ㄊㄨㄥㄆㄨ,同譜/通鋪,False
ㄊㄨㄥㄇㄚ,痛罵,False
ㄊㄨㄥㄇㄛ,銅模,False
ㄊㄨㄥㄇㄡ,同謀/通謀,False
ㄊㄨㄥㄇㄢ,統鏝,False
ㄊㄨㄥㄇㄣ,同門,False
ㄊㄨㄥㄇㄥ,同盟/同夢,False
ㄊㄨㄥㄇㄨ,同母,False
ㄊㄨㄥㄈㄣ,通分/銅粉,False
ㄊㄨㄥㄈㄤ,同房/同方,False
ㄊㄨㄥㄈㄥ,痛風/通風,False
ㄊㄨㄥㄉㄚ,痛打/通達,False
ㄊㄨㄥㄉㄜ,同德,False
ㄊㄨㄥㄉㄞ,銅黛,False
ㄊㄨㄥㄉㄠ,通道/同道,False
ㄊㄨㄥㄉㄤ,同黨,False
ㄊㄨㄥㄉㄥ,同等,False
ㄊㄨㄥㄉㄧ,通敵/痛詆,False
ㄊㄨㄥㄉㄨ,通讀/統獨,False
ㄊㄨㄥㄊㄚ,同榻,False
ㄊㄨㄥㄊㄞ,通泰,False
ㄊㄨㄥㄊㄠ,通套,False
ㄊㄨㄥㄊㄡ,通透/通頭,False
ㄊㄨㄥㄊㄤ,同堂,False
ㄊㄨㄥㄊㄧ,通體,False
ㄊㄨㄥㄋㄢ,童男,False
ㄊㄨㄥㄋㄩ,童女,False
ㄊㄨㄥㄌㄜ,同樂,False
ㄊㄨㄥㄌㄟ,同類,True
ㄊㄨㄥㄌㄢ,通欄,False
ㄊㄨㄥㄌㄤ,通朗,False
ㄊㄨㄥㄌㄧ,同理/通理,False
ㄊㄨㄥㄌㄨ,同路/通路,False
ㄊㄨㄥㄌㄩ,銅綠,False
ㄊㄨㄥㄍㄠ,通告,False
ㄊㄨㄥㄍㄡ,統購,False
ㄊㄨㄥㄍㄢ,同感/痛感,True
ㄊㄨㄥㄍㄣ,同根,False
ㄊㄨㄥㄍㄥ,同庚,False
ㄊㄨㄥㄍㄨ,銅鼓,False
ㄊㄨㄥㄎㄜ,同科,False
ㄊㄨㄥㄎㄞ,捅開,False
ㄊㄨㄥㄎㄠ,通考,False
ㄊㄨㄥㄎㄡ,通口/統口,False
ㄊㄨㄥㄎㄨ,痛苦/痛哭,True
ㄊㄨㄥㄏㄜ,統合/痛喝,False
ㄊㄨㄥㄏㄠ,同好/通好,True
ㄊㄨㄥㄏㄢ,通函/銅銲,False
ㄊㄨㄥㄏㄣ,痛恨,False
ㄊㄨㄥㄏㄤ,同行/通航,False
ㄊㄨㄥㄏㄨ,銅壺,False
ㄊㄨㄥㄐㄧ,統計/同級,False
ㄊㄨㄥㄐㄩ,同居,False
ㄊㄨㄥㄑㄧ,同期/通氣,False
ㄊㄨㄥㄑㄩ,通衢/童趣,False
ㄊㄨㄥㄒㄧ,同喜/同席,False
ㄊㄨㄥㄓㄢ,統戰,False
ㄊㄨㄥㄓㄣ,童真/童貞,True
ㄊㄨㄥㄓㄨ,銅柱,False
ㄊㄨㄥㄔㄜ,通車/同車,False
ㄊㄨㄥㄔㄞ,同儕,False
ㄊㄨㄥㄔㄡ,同仇/統籌,False
ㄊㄨㄥㄔㄢ,同產,False
ㄊㄨㄥㄔㄣ,同塵/通陳,False
ㄊㄨㄥㄔㄤ,通常/通暢,False
ㄊㄨㄥㄔㄥ,統稱/通稱,False
ㄊㄨㄥㄔㄨ,痛楚/痛處,False
ㄊㄨㄥㄕㄚ,通殺,False
ㄊㄨㄥㄕㄡ,銅獸,False
ㄊㄨㄥㄕㄢ,童山/銅山,False
ㄊㄨㄥㄕㄣ,通身/通神,False
ㄊㄨㄥㄕㄤ,同上/通商,False
ㄊㄨㄥㄕㄥ,同聲/同生,True
ㄊㄨㄥㄕㄨ,通書/通疏,False
ㄊㄨㄥㄖㄣ,同人/同仁,False
ㄊㄨㄥㄖㄨ,通儒,False
ㄊㄨㄥㄗㄕ,童子試,False
ㄊㄨㄥㄗㄜ,通則,False
ㄊㄨㄥㄗㄢ,痛贊,False
ㄊㄨㄥㄗㄨ,同族,False
ㄊㄨㄥㄘㄞ,通才/通財,False
ㄊㄨㄥㄘㄠ,通草,False
ㄊㄨㄥㄘㄢ,同參,False
ㄊㄨㄥㄘㄤ,統艙,False
