,Characters,Answer,Score
ㄍㄨㄥㄊㄠ,弓套,FALSE,783068
ㄗㄨㄛㄧㄝ,作業/坐夜,FALSE,783056
ㄒㄧㄐㄧㄠ,細嚼/息交,FALSE,783014
ㄅㄥㄐㄧㄝ,崩解/繃接,FALSE,783007
ㄩㄥㄍㄨㄤ,用光,FALSE,782959
ㄏㄨㄤㄅㄧ,皇辟/皇妣,FALSE,782955
ㄇㄧㄠㄅㄨ,描補,FALSE,782913
ㄔㄨㄅㄧㄝ,擉鱉,FALSE,782903
ㄍㄨㄥㄍㄢ,公幹,FALSE,782867.5
ㄍㄠㄌㄨㄢ,搞亂,FALSE,782866
ㄎㄠㄐㄧㄢ,考檢,FALSE,782845
ㄕㄥㄍㄨㄤ,生光/聲光,FALSE,782833
ㄑㄧㄢㄅㄣ,槧本,FALSE,782793
ㄉㄨㄢㄔㄣ,短趁,FALSE,782733
ㄍㄨㄥㄏㄠ,公毫,FALSE,782725
ㄋㄧㄍㄨㄞ,匿拐,FALSE,782711
ㄌㄠㄍㄨㄢ,老官,FALSE,782690
ㄍㄞㄉㄧㄢ,改點/戤典,FALSE,782670
ㄓㄢㄐㄧㄝ,站街/斬截,FALSE,782646
ㄐㄧㄠㄎㄢ,校勘,FALSE,782615
ㄌㄡㄉㄨㄥ,漏洞,FALSE,782560
ㄊㄜㄐㄧㄥ,特警,FALSE,782497
ㄍㄤㄌㄨㄢ,岡巒,FALSE,782490
ㄧㄡㄕㄨㄟ,游水/遊說,FALSE,782478
ㄎㄤㄐㄧㄢ,康健/伉健,FALSE,782469
ㄉㄨㄢㄇㄣ,端門,FALSE,782413
ㄏㄜㄐㄧㄥ,合鏡/和景,FALSE,782362
ㄕㄠㄒㄧㄣ,燒心/捎信,FALSE,782339
ㄌㄤㄍㄨㄢ,郎官,FALSE,782314
ㄉㄧㄝㄗㄨ,跌足/蹀足,FALSE,782285
ㄉㄧㄥㄍㄜ,定格/頂格,FALSE,782249
ㄇㄣㄌㄧㄥ,門鈴,FALSE,782227
ㄐㄧㄣㄉㄡ,筋斗/金斗,FALSE,782168
ㄅㄧㄢㄉㄚ,鞭打/鞭韃,FALSE,782142
ㄈㄣㄉㄨㄢ,分段,FALSE,782130
ㄋㄚㄒㄧㄢ,納獻,FALSE,782121
ㄈㄢㄆㄧㄥ,藩屏,FALSE,782110
ㄐㄧㄥㄇㄟ,精美/靜美,FALSE,782109
ㄎㄨㄛㄐㄧ,擴及/彉騎,FALSE,782106
ㄓㄨㄢㄕㄣ,轉身/轉伸,TRUE,782088
ㄋㄩㄒㄧㄢ,女先,FALSE,782039
ㄊㄠㄍㄨㄥ,韜弓,FALSE,782020
ㄋㄧㄥㄖㄢ,凝然,FALSE,781989
ㄅㄧㄢㄓㄣ,砭鍼,FALSE,781987
ㄆㄥㄊㄨㄢ,鵬摶,FALSE,781964
ㄕㄤㄒㄧㄣ,傷心/上心,TRUE,781963
ㄇㄧㄣㄕㄢ,敏贍,FALSE,781917
ㄕㄨㄋㄧㄝ,庶孽,FALSE,781907
ㄖㄨㄆㄧㄣ,乳品,FALSE,781902
ㄒㄩㄋㄧㄢ,蓄念,FALSE,781899
ㄏㄠㄍㄨㄥ,蒿宮,FALSE,781885
ㄧㄝㄍㄨㄛ,業果/液果,FALSE,781867
ㄍㄨㄣㄈㄢ,滾翻,FALSE,781862
ㄊㄧㄠㄩㄢ,跳遠,FALSE,781792
ㄑㄧㄣㄨㄣ,親吻,FALSE,781791.5
ㄉㄥㄑㄧㄡ,燈毬,FALSE,781752
ㄗㄟㄒㄧㄥ,賊性/賊星,FALSE,781743
ㄉㄧㄢㄌㄟ,奠酹,FALSE,781703
ㄐㄧㄢㄎㄤ,健康/建康,TRUE,781701
ㄎㄨㄥㄈㄢ,空泛,FALSE,781679
ㄑㄩㄥㄧㄠ,瓊瑤,FALSE,781677
ㄩㄣㄇㄧㄢ,勻面,FALSE,781671
ㄉㄧㄢㄩㄝ,點閱/顛越,FALSE,781665
ㄔㄨㄥㄒㄩ,沖虛,FALSE,781646
ㄍㄚㄐㄧㄣ,軋進,FALSE,781630
ㄕㄡㄉㄨㄢ,手段,TRUE,781625
ㄌㄟㄉㄧㄢ,雷電/淚點,FALSE,781622
ㄑㄧㄗㄨㄟ,泣罪,FALSE,781620
ㄓㄣㄅㄧㄢ,針砭/鍼砭,FALSE,781610
ㄐㄧㄢㄎㄠ,監考,FALSE,781575
ㄐㄧㄥㄏㄜ,精核/精覈,FALSE,781505
ㄩㄢㄏㄨㄣ,冤魂/圓渾,FALSE,781486
ㄇㄟㄐㄧㄥ,美景/煤精,FALSE,781479
ㄙㄨㄢㄋㄧ,蒜泥/狻猊,FALSE,781477
ㄒㄧㄤㄕㄣ,鄉紳/詳審,FALSE,781472
ㄕㄥㄌㄧㄤ,聲量,FALSE,781456
ㄩㄥㄌㄧㄠ,用料,FALSE,781456
ㄓㄥㄑㄧㄣ,正寢,FALSE,781441
ㄇㄧㄢㄕㄣ,免身,FALSE,781387
ㄒㄧㄣㄕㄤ,欣賞/心上,FALSE,781378
ㄅㄧㄢㄉㄡ,辯鬥/扁豆,FALSE,781335
ㄕㄥㄌㄧㄠ,生料,FALSE,781330
ㄒㄩㄔㄨㄢ,虛船,FALSE,781327
ㄉㄚㄕㄨㄢ,打拴,FALSE,781294
ㄊㄨㄥㄍㄠ,通告,FALSE,781238
ㄏㄨㄥㄍㄤ,洪剛/宏綱,FALSE,781229
ㄨㄢㄕㄧㄕ,萬世一時,FALSE,781229
ㄍㄨㄥㄌㄡ,宮漏,FALSE,781196
ㄒㄧㄥㄐㄧ,性急/星際,FALSE,781188
ㄩㄣㄒㄧㄤ,芸香,FALSE,781175
ㄐㄧㄝㄘㄨ,接簇,FALSE,781135
ㄊㄞㄐㄧㄢ,太監/太建,FALSE,781068
ㄑㄧㄝㄏㄨ,挈壺,FALSE,781067
ㄕㄣㄒㄧㄤ,神像/申詳,FALSE,781049
ㄩㄣㄒㄧㄠ,雲霄/運銷,FALSE,781049
ㄇㄧㄣㄧㄥ,民營,FALSE,781034
ㄍㄡㄐㄧㄣ,夠勁,FALSE,781030
ㄧㄠㄊㄨㄟ,腰腿,FALSE,781019
ㄅㄢㄐㄧㄝ,板結/半截,FALSE,780989
ㄐㄧㄢㄗㄚ,間雜,FALSE,780973
ㄧㄠㄏㄨㄟ,搖會/邀會,FALSE,780970
ㄉㄧㄠㄈㄥ,刁風,FALSE,780950
ㄍㄨㄥㄌㄩ,功率/工率,FALSE,780949
ㄩㄢㄍㄨㄤ,圓光,FALSE,780941
ㄏㄞㄐㄧㄢ,海監,FALSE,780933
ㄕㄣㄒㄧㄠ,深宵/哂笑,FALSE,780923
ㄉㄧㄅㄧㄥ,底冰,FALSE,780906
ㄓㄜㄒㄧㄢ,折線/謫仙,FALSE,780879
ㄆㄠㄒㄧㄢ,颮線,FALSE,780876
ㄕㄢㄍㄨㄤ,閃光,TRUE,780815
ㄅㄧㄉㄧㄥ,必定,TRUE,780694
ㄊㄠㄌㄧㄥ,討令,FALSE,780643
ㄧㄤㄏㄨㄟ,養會/洋灰,FALSE,780594
ㄌㄧㄝㄉㄥ,劣等/躐等,FALSE,780567
ㄎㄨㄌㄧㄝ,酷烈,FALSE,780547
ㄏㄠㄌㄧㄥ,號令/號令,FALSE,780508
ㄔㄣㄉㄨㄢ,宸斷,FALSE,780454
ㄔㄢㄆㄧㄥ,剷平/鏟平,FALSE,780434
ㄆㄢㄇㄧㄥ,拚命/判明,FALSE,780432
ㄇㄢㄆㄧㄥ,漫評,FALSE,780386
ㄍㄨㄞㄌㄧ,乖離/乖戾,FALSE,780379
ㄋㄧㄊㄨㄛ,擬妥,FALSE,780319
ㄍㄡㄅㄧㄢ,鉤邊,FALSE,780310
ㄒㄧㄠㄆㄢ,小盤/小弁,FALSE,780273
ㄊㄧㄥㄌㄠ,聽老/停潦,FALSE,780264
ㄌㄧㄥㄊㄤ,靈堂/令堂,FALSE,780233
ㄩㄣㄓㄨㄢ,運轉,FALSE,780226
ㄎㄡㄐㄧㄥ,口徑/口靜,FALSE,780199
ㄍㄨㄥㄨㄣ,公文,TRUE,780195
ㄍㄨㄣㄔㄢ,袞纏,FALSE,780183
ㄐㄧㄢㄗㄡ,間奏/牋奏,FALSE,780166
ㄍㄨㄢㄕㄚ,關煞/官紗,FALSE,780126
ㄋㄧㄥㄒㄩ,寧許,FALSE,780111
ㄈㄤㄉㄧㄥ,放定/方鼎,FALSE,780076
ㄐㄧㄥㄎㄡ,京口,FALSE,780054
ㄌㄧㄍㄨㄦ,離股兒,FALSE,780004
ㄒㄧㄤㄆㄢ,向盤,FALSE,779983
ㄉㄧㄝㄧㄥ,疊映,FALSE,779958
ㄐㄧㄥㄒㄧ,驚喜/精細,TRUE,779899
ㄕㄠㄑㄧㄥ,少頃,FALSE,779899
ㄌㄧㄥㄏㄤ,領航,FALSE,779890
ㄐㄧㄥㄓㄞ,淨宅/京債,FALSE,779744
ㄉㄢㄑㄧㄡ,丹丘,FALSE,779734
ㄑㄧㄥㄕㄤ,情商/情賞,FALSE,779684
ㄌㄢㄌㄧㄥ,藍領/藍翎,FALSE,779639
ㄎㄨㄞㄧㄠ,快要,FALSE,779618
ㄈㄣㄍㄨㄢ,分關,FALSE,779614
ㄉㄧㄥㄧㄝ,丁夜,FALSE,779595
ㄩㄢㄌㄧㄤ,原諒,FALSE,779564
ㄍㄣㄐㄧㄡ,根究,FALSE,779561
ㄑㄧㄥㄕㄠ,清劭,FALSE,779558
ㄒㄧㄝㄇㄢ,懈慢/媟慢,FALSE,779544
ㄒㄧㄡㄋㄢ,羞赧,FALSE,779524
ㄕㄤㄑㄧㄥ,上清/上卿,FALSE,779523
ㄙㄢㄇㄧㄥ,三明/三命,FALSE,779519
ㄒㄧㄢㄋㄩ,仙女,FALSE,779515
ㄑㄧㄡㄍㄢ,球杆,FALSE,779454
ㄕㄢㄌㄧㄤ,善良/閃亮,FALSE,779438
ㄩㄢㄌㄧㄠ,原料,FALSE,779438
ㄒㄧㄠㄙㄢ,消散/蕭散,FALSE,779433
ㄊㄧㄠㄕㄢ,挑閃,FALSE,779427
ㄓㄢㄑㄧㄣ,沾親/占親,FALSE,779423
ㄑㄧㄠㄕㄥ,僑生/悄聲,FALSE,779420
ㄕㄨㄟㄊㄧ,水體,FALSE,779418
ㄗㄩㄣㄧㄥ,紫雲英,FALSE,779403
ㄅㄧㄖㄨㄛ,必若,FALSE,779385
ㄉㄤㄇㄧㄥ,檔名,FALSE,779345
ㄍㄨㄢㄇㄣ,關門,FALSE,779333
ㄍㄢㄕㄨㄤ,乾爽,FALSE,779320
ㄍㄨㄢㄕㄡ,官守/關手,FALSE,779319
ㄓㄨㄥㄘㄢ,中餐/重殘,FALSE,779297
ㄍㄟㄌㄧㄢ,給臉,FALSE,779282
ㄐㄧㄢㄇㄛ,緘默/肩摩,FALSE,779265
ㄌㄨㄥㄍㄡ,壟溝,FALSE,779209
ㄉㄠㄏㄨㄢ,倒換/刀環,FALSE,779186
ㄅㄧㄗㄨㄟ,閉嘴,FALSE,779169
ㄨㄌㄧㄍㄣ,無理根,FALSE,779156
ㄑㄧㄤㄕㄥ,強盛,FALSE,779130
ㄊㄧㄝㄅㄨ,貼補,FALSE,779118
ㄕㄡㄍㄨㄢ,收管,FALSE,779109
ㄧㄡㄍㄨㄞ,誘拐,FALSE,779099
ㄔㄢㄗㄨㄥ,禪宗,FALSE,779087
ㄒㄧㄥㄍㄥ,鉶羹,FALSE,779057.5
ㄏㄨㄤㄉㄢ,荒誕/黃疸,FALSE,779055
ㄋㄧㄒㄧㄥ,逆行,FALSE,779037
ㄕㄤㄊㄧㄢ,上天,FALSE,779005
ㄆㄧㄒㄩㄥ,批胸/劈胸,FALSE,778994
ㄊㄥㄌㄨㄣ,藤輪,FALSE,778975
ㄓㄨㄥㄉㄤ,中檔,FALSE,778943
ㄊㄨㄛㄌㄧ,脫離/脫粒,FALSE,778939
ㄌㄧㄤㄧㄢ,兩眼/兩言,FALSE,778924
ㄗㄨㄟㄧㄝ,罪業,FALSE,778913
ㄌㄧㄣㄈㄢ,臨凡,FALSE,778901
ㄒㄧㄋㄧㄥ,熙寧,FALSE,778897
ㄐㄧㄚㄍㄣ,假根,FALSE,778883
ㄊㄧㄥㄈㄣ,停分,FALSE,778879
ㄉㄤㄊㄨㄢ,黨團,FALSE,778859
ㄆㄚㄒㄧㄥ,爬行,FALSE,778830
ㄓㄨㄥㄉㄠ,中道/中稻,FALSE,778817
ㄏㄨㄛㄌㄧ,活力/獲利,FALSE,778804
ㄒㄧㄢㄓㄜ,顯著/先哲,FALSE,778792
ㄌㄨㄛㄊㄧ,裸體/落題,FALSE,778782
ㄔㄠㄉㄧㄥ,朝頂,FALSE,778776
ㄇㄠㄉㄧㄥ,鉚釘,FALSE,778728
ㄐㄧㄤㄋㄢ,江南,FALSE,778721
ㄏㄠㄉㄨㄢ,毫端,FALSE,778687
ㄊㄧㄥㄧㄠ,挺腰,FALSE,778682
ㄧㄡㄒㄩㄢ,輶軒,FALSE,778673
ㄩㄧㄍㄢㄕ,褕衣甘食,FALSE,778669
ㄐㄩㄢㄕㄨ,捐輸/眷屬,FALSE,778617
ㄅㄞㄐㄧㄥ,白淨,FALSE,778610
ㄌㄥㄏㄨㄣ,冷葷,FALSE,778599
ㄓㄨㄤㄑㄧ,壯氣,FALSE,778573
ㄉㄨㄛㄕㄥ,多生,FALSE,778571
ㄊㄧㄢㄕㄤ,天上,TRUE,778513
ㄌㄧㄡㄩㄢ,六院/溜圓,FALSE,778485
ㄆㄧㄥㄆㄨ,平鋪,FALSE,778448
ㄑㄧㄨㄤㄓ,期望值,FALSE,778410
ㄧㄠㄓㄨㄛ,謠諑,FALSE,778394
ㄉㄧㄑㄧㄢ,地塹/低淺,FALSE,778369
ㄘㄠㄒㄧㄥ,操行,FALSE,778361
ㄏㄨㄢㄉㄠ,環島,FALSE,778305
ㄉㄠㄓㄨㄥ,稻種/盜鐘,FALSE,778276
ㄇㄧㄥㄉㄤ,明當/明璫,FALSE,778242
ㄨㄢㄇㄧㄢ,挽面,FALSE,778226
ㄕㄥㄇㄧㄣ,生民,FALSE,778199
ㄉㄚㄌㄨㄢ,大亂/大臠,TRUE,778186
ㄌㄧㄢㄧㄠ,練要,FALSE,778174
ㄧㄓㄔㄨㄣ,一枝春,FALSE,778140
ㄐㄧㄚㄖㄢ,戛然,FALSE,778121
ㄇㄧㄥㄉㄠ,明道/命道,FALSE,778116
ㄋㄨㄥㄈㄢ,弄飯,FALSE,778104
ㄐㄧㄥㄅㄞ,精白/京白,FALSE,778099
ㄐㄧㄣㄍㄡ,僅夠/儘夠,FALSE,778074
ㄒㄧㄥㄘㄤ,行藏,FALSE,778057
ㄌㄥㄍㄨㄤ,冷光,FALSE,778054
ㄧㄤㄓㄨㄛ,養拙,FALSE,778018
ㄘㄤㄒㄧㄥ,藏形/藏幸,FALSE,777985
ㄐㄧㄢㄋㄠ,間腦,FALSE,777971
ㄊㄢㄘㄨㄥ,談叢,FALSE,777968
ㄎㄨㄟㄐㄧ,窺基/窺覬,FALSE,777963
ㄉㄤㄓㄨㄥ,當中/當眾,TRUE,777900
ㄇㄣㄍㄨㄢ,門館,FALSE,777890
ㄒㄧㄚㄆㄥ,瞎碰,FALSE,777873
ㄉㄢㄍㄨㄟ,單跪/單軌,FALSE,777857
ㄍㄨㄛㄩㄥ,國用,FALSE,777856
ㄧㄝㄍㄨㄟ,業鬼/謁歸,FALSE,777819
ㄍㄨㄧㄢㄨ,顧炎武,FALSE,777816
ㄒㄩㄥㄓㄨ,雄主/雄株,FALSE,777789
ㄕㄡㄌㄧㄢ,收斂/收殮,TRUE,777732
ㄊㄨㄥㄉㄚ,痛打/通達,FALSE,777726
ㄙㄨㄑㄧㄡ,訴求,FALSE,777726
ㄓㄤㄉㄨㄥ,章動,FALSE,777645
ㄌㄨㄣㄓㄢ,論戰,FALSE,777593
ㄏㄨㄥㄉㄚ,洪大/宏大,FALSE,777591
ㄊㄨㄥㄓㄣ,童真/童貞,TRUE,777571
ㄌㄧㄡㄗㄨ,六祖,FALSE,777564
ㄌㄠㄒㄧㄣ,勞心,FALSE,777560
ㄕㄨㄛㄑㄧ,說起/朔氣,FALSE,777546
ㄒㄧㄚㄐㄩ,遐舉,FALSE,777532
ㄙㄨㄛㄒㄧ,瑣細,FALSE,777528
ㄗㄥㄐㄧㄚ,增加/贈嫁,TRUE,777522
ㄈㄟㄐㄧㄢ,飛濺/飛劍,FALSE,777489
ㄌㄧㄥㄧㄚ,陵壓,FALSE,777460
ㄑㄧㄉㄧㄢ,起點/氣墊,FALSE,777431
ㄘㄢㄊㄨㄥ,慘痛,FALSE,777431
ㄉㄨㄢㄌㄡ,短漏,FALSE,777384
ㄘㄢㄏㄨㄥ,殘紅,FALSE,777382
ㄌㄩㄉㄨㄢ,履端,FALSE,777364
ㄒㄩㄢㄊㄨ,璿圖/宣吐,FALSE,777265
ㄌㄧㄣㄔㄢ,林產,FALSE,777222
ㄐㄧㄢㄈㄟ,減肥/姦非,FALSE,777216
ㄊㄧㄥㄔㄣ,聽沉,FALSE,777200
ㄉㄚㄊㄨㄥ,打通/大同,FALSE,777189
ㄌㄤㄒㄧㄣ,狼心,FALSE,777184
ㄨㄣㄧㄠㄩ,文鰩魚,FALSE,777154
ㄋㄩㄐㄧㄥ,女警,FALSE,777142
ㄉㄚㄏㄨㄥ,大紅/打哄,FALSE,777140
ㄅㄢㄙㄨㄥ,伴送,FALSE,777132
ㄏㄨㄚㄑㄧ,花期/花器,FALSE,777129
ㄆㄧㄕㄨㄟ,皮水,FALSE,777085
ㄌㄨㄢㄓㄣ,亂真,FALSE,777063
ㄒㄩㄢㄌㄧ,懸黎/玄理,FALSE,777057
ㄐㄧㄝㄈㄥ,結風/接風,FALSE,777053
ㄨㄞㄌㄧㄡ,外流,FALSE,777010
ㄅㄧㄠㄕㄥ,表甥,FALSE,776969
ㄊㄢㄌㄨㄣ,談論,TRUE,776957
ㄏㄨㄚㄉㄥ,花燈/華燈,FALSE,776945
ㄈㄢㄖㄨㄥ,繁榮/煩冗,FALSE,776931
ㄋㄨㄢㄈㄥ,暖風/暖鋒,FALSE,776926
ㄒㄩㄢㄏㄨ,旋胡/懸壺,FALSE,776922
ㄈㄨㄋㄧㄤ,夫娘,FALSE,776890
ㄊㄧㄥㄕㄡ,聽手/聽受,FALSE,776866
ㄆㄧㄎㄨㄣ,疲困,FALSE,776847
ㄍㄨㄥㄓㄤ,公章/公丈,FALSE,776826
ㄈㄥㄒㄧㄝ,風邪,FALSE,776818
ㄉㄨㄟㄩㄥ,兌用,FALSE,776793
ㄏㄨㄥㄉㄡ,紅豆,FALSE,776784
ㄊㄚㄉㄨㄥ,他動,FALSE,776776
ㄧㄣㄗㄨㄛ,銀座,FALSE,776754
ㄔㄥㄆㄧㄢ,成篇,FALSE,776738
ㄆㄥㄇㄧㄢ,碰面,FALSE,776736
ㄕㄡㄊㄧㄥ,收聽,FALSE,776735
ㄕㄠㄅㄧㄥ,哨兵/燒餅,FALSE,776722
ㄧㄡㄊㄨㄛ,幼托,FALSE,776707
ㄍㄨㄥㄓㄠ,供招/弓招,FALSE,776700
ㄇㄥㄆㄧㄢ,矇騙,FALSE,776690
ㄧㄡㄏㄨㄛ,誘惑,TRUE,776658
ㄍㄢㄑㄧㄡ,干求,FALSE,776654
ㄌㄧㄥㄧㄡ,領有/另有,FALSE,776653
ㄏㄜㄐㄧㄢ,和姦/核減,FALSE,776648
ㄍㄠㄇㄧㄥ,高明/高名,FALSE,776641
ㄍㄨㄤㄏㄢ,廣寒/獷悍,FALSE,776583
ㄔㄣㄌㄧㄢ,晨練/陳鍊,FALSE,776561
ㄉㄡㄏㄨㄥ,鬥鬨,FALSE,776540
ㄇㄣㄌㄧㄢ,門聯/門臉,FALSE,776513
ㄎㄨㄣㄊㄧ,騉蹄,FALSE,776491
ㄋㄨㄥㄔㄢ,農產,FALSE,776425
ㄌㄨㄢㄉㄡ,亂抖,FALSE,776411
ㄉㄨㄢㄨㄣ,短文,FALSE,776383
ㄅㄠㄉㄨㄥ,暴動,FALSE,776364
ㄒㄧㄣㄌㄤ,新郎,FALSE,776363
ㄌㄧㄢㄕㄡ,聯手/連手,FALSE,776358
ㄕㄤㄅㄧㄥ,傷兵,FALSE,776346
ㄍㄨㄢㄊㄤ,官堂/官塘,FALSE,776302
ㄋㄧㄊㄨㄟ,泥腿,FALSE,776271
ㄐㄧㄚㄒㄩ,嘉許/佳婿,FALSE,776243
ㄒㄧㄣㄌㄠ,辛勞,FALSE,776237
ㄋㄧㄏㄨㄟ,泥灰,FALSE,776222
ㄐㄧㄥㄋㄩ,靚女/靜女,FALSE,776203
ㄏㄠㄍㄨㄢ,好官,FALSE,776171
ㄒㄩㄥㄅㄨ,胸部,FALSE,776144
ㄌㄧㄡㄕㄢ,柳杉,FALSE,776120
ㄍㄠㄏㄨㄢ,高喚,FALSE,776106
ㄎㄢㄐㄧㄠ,看轎,FALSE,776065
ㄒㄧㄚㄩㄣ,狹韻,FALSE,776013
ㄅㄤㄉㄨㄥ,幫冬,FALSE,775988
ㄓㄜㄐㄧㄥ,蔗境,FALSE,775982
ㄏㄣㄇㄧㄥ,狠命,FALSE,775961
ㄌㄨㄣㄅㄢ,輪班,FALSE,775948
ㄊㄤㄍㄨㄢ,堂官/堂倌,FALSE,775930
ㄉㄧㄐㄧㄣ,低進/底襟,FALSE,775912
ㄨㄟㄌㄧㄝ,圍獵,FALSE,775824
ㄐㄧㄒㄧㄚ,寄下/稷下,FALSE,775815
ㄑㄧㄤㄩㄢ,牆垣/嬙媛,FALSE,775781
ㄇㄟㄐㄧㄢ,眉尖/眉繭,FALSE,775765
ㄉㄨㄥㄖㄣ,動人/東人,TRUE,775709
ㄑㄧㄡㄇㄨ,求牡/丘木,FALSE,775671
ㄖㄨㄒㄩㄥ,如兄,FALSE,775606
ㄇㄣㄊㄧㄥ,門庭/門桯,FALSE,775516
ㄓㄠㄍㄨㄥ,招供,FALSE,775505
ㄋㄢㄒㄧㄚ,南下,TRUE,775495
ㄍㄨㄛㄕㄥ,過剩,FALSE,775491
ㄐㄧㄥㄓㄜ,經摺/驚蟄,FALSE,775480
ㄍㄨㄥㄊㄚ,宮闥,FALSE,775462
ㄒㄧㄐㄧㄚ,西家/犀甲,FALSE,775408
ㄐㄧㄝㄔㄥ,解呈/解酲,FALSE,775374
ㄉㄧㄢㄍㄜ,點歌/殿閣,FALSE,775357
ㄆㄥㄓㄨㄢ,蓬轉,FALSE,775291
ㄉㄢㄔㄨㄣ,單純/丹脣,FALSE,775287
ㄧㄝㄔㄨㄣ,夜春,FALSE,775249
ㄌㄧㄡㄧㄥ,流鶯/留影,FALSE,775237
ㄐㄧㄢㄇㄟ,健美/劍眉,FALSE,775217
ㄔㄨㄋㄧㄤ,廚娘,FALSE,775214
ㄍㄠㄓㄨㄥ,高中/高中,TRUE,775196
ㄉㄧㄅㄧㄢ,地變/底邊,FALSE,775192
ㄒㄧㄠㄧㄣ,小引/小印,FALSE,775165
ㄑㄧㄠㄗㄨ,蹻足,FALSE,775150
ㄔㄥㄒㄧㄝ,稱謝,FALSE,775142
ㄕㄥㄉㄧㄝ,聲碟,FALSE,775119
ㄏㄟㄉㄧㄢ,黑點/黑店,FALSE,775103
ㄔㄨㄋㄧㄠ,雛鳥,FALSE,775088
ㄙㄠㄐㄧㄥ,騷經,FALSE,775066
ㄍㄨㄥㄅㄠ,公報/公保,FALSE,775055
ㄐㄧㄝㄇㄥ,結盟/解夢,FALSE,775054
ㄑㄧㄝㄓㄨ,且住/切囑,FALSE,775042
ㄒㄩㄣㄧㄡ,巡遊/尋幽,FALSE,774958
ㄐㄧㄢㄊㄜ,奸慝/姦慝,FALSE,774956
ㄈㄥㄌㄧㄣ,峰林/賵臨,FALSE,774891
ㄒㄧㄤㄧㄣ,鄉音/響音,FALSE,774875
ㄑㄧㄤㄗㄨ,羌族/廧崒,FALSE,774860
ㄌㄧㄝㄉㄢ,裂膽,FALSE,774853
ㄌㄩㄍㄨㄢ,旅館/鋁罐,FALSE,774848
ㄍㄤㄓㄨㄥ,鋼種,FALSE,774820
ㄍㄨㄚㄊㄥ,瓜藤,FALSE,774816
ㄓㄣㄊㄨㄥ,陣痛/鎮痛,FALSE,774809
ㄊㄨㄟㄌㄧ,推理/推力,FALSE,774796
ㄑㄩㄢㄧㄠ,權要,FALSE,774785
ㄒㄧㄣㄧㄤ,信仰/新樣,TRUE,774781
ㄑㄧㄥㄌㄤ,晴朗/情郎,FALSE,774669
ㄐㄧㄡㄒㄩ,就緒,FALSE,774666
ㄏㄨㄟㄌㄧ,回禮/回曆,FALSE,774661
ㄍㄨㄥㄊㄡ,工頭,FALSE,774655
ㄒㄧㄣㄧㄠ,心藥,FALSE,774655
ㄕㄥㄊㄧㄠ,聲調,TRUE,774619
ㄐㄧㄢㄏㄜ,簡核/劍河,FALSE,774613
ㄌㄠㄊㄧㄢ,老天,FALSE,774602
ㄒㄧㄐㄧㄡ,細究/喜酒,FALSE,774601
ㄎㄡㄐㄧㄢ,叩見,FALSE,774485
ㄘㄨㄟㄧㄚ,催芽,FALSE,774445
ㄉㄨㄟㄕㄥ,對生/碓聲,FALSE,774428
ㄑㄧㄠㄌㄥ,翹棱,FALSE,774405
ㄈㄤㄉㄧㄢ,放電/芳甸,FALSE,774362
ㄧㄠㄓㄨㄟ,腰椎,FALSE,774346
ㄌㄡㄍㄨㄢ,漏管,FALSE,774330
ㄍㄨㄥㄏㄡ,恭候/拱候,FALSE,774312
ㄒㄧㄢㄐㄧ,先機/仙機,FALSE,774296
ㄈㄢㄍㄨㄣ,翻滾,FALSE,774250
ㄉㄧㄝㄧㄢ,疊巘,FALSE,774244
ㄆㄢㄒㄧㄤ,盤香,FALSE,774222
ㄗㄨㄓㄧㄝ,組織液,FALSE,774208
ㄌㄧㄡㄖㄨ,六如,FALSE,774180
ㄘㄨㄢㄋㄧ,篡逆/竄匿,FALSE,774161
ㄓㄠㄌㄧㄥ,詔令/招領,FALSE,774128
ㄍㄨㄢㄌㄩ,官綠/冠履,FALSE,774057
ㄨㄟㄇㄧㄠ,微妙/微渺,FALSE,773989
ㄕㄡㄒㄧㄣ,手心/守信,FALSE,773979
ㄌㄧㄤㄊㄢ,兩袒,FALSE,773965
ㄔㄥㄨㄩㄢ,乘務員,FALSE,773960
ㄐㄧㄠㄩㄣ,交運,FALSE,773923
ㄌㄧㄥㄓㄤ,領章,FALSE,773865
ㄅㄠㄍㄨㄥ,包公/包工,FALSE,773848
ㄕㄤㄑㄧㄢ,上前/賞錢,FALSE,773809
ㄏㄠㄊㄧㄥ,好聽,TRUE,773797
ㄊㄢㄊㄧㄥ,探聽,FALSE,773764
ㄌㄧㄍㄢㄕ,里幹事,FALSE,773764
ㄓㄤㄌㄧㄥ,掌領,FALSE,773752
ㄑㄧㄠㄕㄢ,橋山,FALSE,773706
ㄈㄢㄎㄨㄥ,翻空,FALSE,773667
ㄨㄟㄆㄧㄣ,偽品,FALSE,773667
ㄊㄡㄍㄨㄥ,頭功/投供,FALSE,773660
ㄒㄧㄚㄕㄣ,下身/下神,FALSE,773648
ㄉㄤㄇㄧㄢ,當面,FALSE,773631
ㄌㄧㄤㄏㄢ,兩漢,FALSE,773622
ㄨㄤㄐㄧㄤ,王漿,FALSE,773614
ㄐㄩㄥㄏㄨ,扃戶,FALSE,773610
ㄡㄕㄍㄨㄢ,歐氏管,FALSE,773601
ㄉㄧㄠㄔㄢ,貂蟬,FALSE,773557
ㄍㄣㄗㄨㄥ,跟蹤,FALSE,773556
ㄏㄡㄍㄨㄥ,後宮,FALSE,773525
