Word,Answer,Score,Occurrence,Green,Yellow,Weighted Sum
lured,FALSE,5689530,3368,873,2495,2120.5
torcs,FALSE,5689444,3243,779,2464,2011
caned,FALSE,5689343,3333,1077,2256,2205
adorn,TRUE,5689290,3339,687,2652,2013
filer,TRUE,5689120,3395,980,2415,2187.5
canto,FALSE,5689113,3247,838,2409,2042.5
smile,TRUE,5688886,3267,1256,2011,2261.5
auloi,FALSE,5688772,3334,582,2752,1958
genoa,FALSE,5688758,3488,692,2796,2090
ovate,TRUE,5688670,3454,926,2528,2190
torus,TRUE,5687892,3252,709,2543,1980.5
aleft,FALSE,5687826,3487,807,2680,2147
sabir,FALSE,5687782,3278,1097,2181,2187.5
spelt,TRUE,5687630,3335,1019,2316,2177
bolar,FALSE,5687556,3334,939,2395,2136.5
tined,FALSE,5686937,3290,926,2364,2108
cotan,FALSE,5686842,3247,881,2366,2064
banes,FALSE,5686817,3400,970,2430,2185
taube,FALSE,5685778,3356,1066,2290,2211
sadhe,FALSE,5685771,3332,1197,2135,2264.5
bared,FALSE,5685574,3439,1076,2363,2257.5
lycea,FALSE,5684714,3478,549,2929,2013.5
camel,TRUE,5684569,3359,1037,2322,2198
deils,FALSE,5684079,3339,817,2522,2078
skier,TRUE,5684040,3360,1172,2188,2266
rolag,FALSE,5683957,3367,700,2667,2033.5
puler,FALSE,5683776,3344,970,2374,2157
blite,FALSE,5683763,3285,1203,2082,2244
chert,FALSE,5683751,3387,924,2463,2155.5
ascot,TRUE,5683524,3315,598,2717,1956.5
peaty,FALSE,5682968,3395,1194,2201,2294.5
siroc,FALSE,5682833,3223,894,2329,2058.5
cents,FALSE,5682593,3339,754,2585,2046.5
grein,FALSE,5681946,3390,847,2543,2118.5
boral,FALSE,5681638,3334,934,2400,2134
rewan,FALSE,5681282,3546,666,2880,2106
dotal,FALSE,5680943,3267,820,2447,2043.5
freit,FALSE,5680791,3414,991,2423,2202.5
menta,FALSE,5680616,3480,691,2789,2085.5
rifle,TRUE,5680358,3395,918,2477,2156.5
stime,FALSE,5680344,3286,1201,2085,2243.5
capes,FALSE,5679754,3377,914,2463,2145.5
slaid,FALSE,5679753,3192,1150,2042,2171
stoln,FALSE,5679664,3156,979,2177,2067.5
volae,FALSE,5679656,3435,1021,2414,2228
fetor,FALSE,5679500,3440,833,2607,2136.5
purse,TRUE,5679357,3314,1086,2228,2200
decor,TRUE,5679323,3384,753,2631,2068.5
noted,FALSE,5679229,3316,863,2453,2089.5
gairs,FALSE,5679195,3311,873,2438,2092
roily,FALSE,5679186,3222,1176,2046,2199
brent,FALSE,5679125,3377,1052,2325,2214.5
pance,FALSE,5678975,3309,1161,2148,2235
froes,FALSE,5678916,3391,1001,2390,2196
rends,FALSE,5678434,3431,591,2840,2011
swire,FALSE,5678272,3352,1252,2100,2302
roams,FALSE,5678210,3335,795,2540,2065
feats,FALSE,5677678,3457,860,2597,2158.5
death,TRUE,5677471,3381,938,2443,2159.5
etics,FALSE,5676646,3436,603,2833,2019.5
lopes,FALSE,5676352,3341,779,2562,2060
loden,FALSE,5675801,3297,890,2407,2093.5
ribes,FALSE,5675704,3425,718,2707,2071.5
oracy,FALSE,5675288,3284,1131,2153,2207.5
shoal,TRUE,5674924,3227,1073,2154,2150
mairs,FALSE,5674923,3309,865,2444,2087
grice,FALSE,5674473,3288,1224,2064,2256
stave,TRUE,5673436,3399,1220,2179,2309.5
nerds,FALSE,5673288,3431,547,2884,1989
lifer,FALSE,5673262,3395,845,2550,2120
siker,FALSE,5672944,3360,1110,2250,2235
marts,FALSE,5672731,3329,749,2580,2039
cauri,FALSE,5672574,3298,830,2468,2064
lobar,FALSE,5672512,3334,799,2535,2066.5
plast,FALSE,5672314,3188,1074,2114,2131
aulos,FALSE,5672278,3305,607,2698,1956
super,TRUE,5672242,3314,1140,2174,2227
lotah,FALSE,5672176,3276,780,2496,2028
epris,FALSE,5672115,3504,490,3014,1997
moria,FALSE,5672035,3364,771,2593,2067.5
harns,FALSE,5671480,3293,754,2539,2023.5
nosey,TRUE,5671455,3314,1078,2236,2196
haled,FALSE,5670930,3362,921,2441,2141.5
clary,FALSE,5670811,3259,1222,2037,2240.5
spuer,FALSE,5670697,3314,1122,2192,2218
teind,FALSE,5670544,3290,957,2333,2123.5
snide,TRUE,5670442,3241,1212,2029,2226.5
padle,FALSE,5670411,3329,1107,2222,2218
teaks,FALSE,5670367,3452,789,2663,2120.5
ictal,FALSE,5670326,3319,504,2815,1911.5
leady,FALSE,5670033,3400,1070,2330,2235
crime,TRUE,5669912,3286,1223,2063,2254.5
doats,FALSE,5668565,3237,872,2365,2054.5
routs,FALSE,5668530,3252,724,2528,1988
etuis,FALSE,5668440,3445,508,2937,1976.5
cameo,TRUE,5668337,3384,939,2445,2161.5
salve,TRUE,5668144,3380,1252,2128,2316
helos,FALSE,5668050,3374,591,2783,1982.5
reign,TRUE,5667854,3390,819,2571,2104.5
ruled,FALSE,5667280,3368,839,2529,2103.5
wanle,FALSE,5666960,3357,1112,2245,2234.5
kales,FALSE,5666574,3433,790,2643,2111.5
gerah,FALSE,5665971,3481,822,2659,2151.5
rowel,FALSE,5665936,3408,884,2524,2146
aitus,FALSE,5665914,3298,572,2726,1935
spalt,FALSE,5665411,3188,1149,2039,2168.5
shape,TRUE,5664976,3308,1291,2017,2299.5
darns,FALSE,5664745,3284,796,2488,2040
krone,FALSE,5664682,3318,1137,2181,2227.5
abets,FALSE,5664567,3517,509,3008,2013
paces,FALSE,5664470,3377,856,2521,2116.5
toads,FALSE,5664375,3237,840,2397,2038.5
feals,FALSE,5664018,3438,883,2555,2160.5
sprue,FALSE,5663913,3314,1096,2218,2205
ofter,FALSE,5663632,3440,690,2750,2065
breis,FALSE,5663597,3425,811,2614,2118
short,TRUE,5663468,3174,1159,2015,2166.5
phase,TRUE,5663349,3308,1188,2120,2248
cable,TRUE,5663096,3328,1145,2183,2236.5
crave,TRUE,5663004,3399,1242,2157,2320.5
solah,FALSE,5662974,3227,1059,2168,2143
spait,FALSE,5662921,3187,1145,2042,2166
tronc,FALSE,5662485,3175,873,2302,2024
genro,FALSE,5662088,3416,706,2710,2061
geist,FALSE,5661950,3288,1047,2241,2167.5
alive,TRUE,5661891,3409,1078,2331,2243.5
chart,TRUE,5661532,3240,1054,2186,2147
liker,FALSE,5661462,3390,832,2558,2111
delos,FALSE,5661315,3365,633,2732,1999
zaire,FALSE,5661090,3484,1149,2335,2316.5
scute,FALSE,5661080,3246,1134,2112,2190
alcos,FALSE,5660949,3296,566,2730,1931
garis,FALSE,5660853,3311,776,2535,2043.5
droil,FALSE,5660843,3175,936,2239,2055.5
royst,FALSE,5660797,3212,837,2375,2024.5
crept,TRUE,5660311,3354,945,2409,2149.5
botel,FALSE,5660158,3311,1037,2274,2174
beans,FALSE,5659862,3400,940,2460,2170
grain,TRUE,5659727,3243,977,2266,2110
ochre,FALSE,5659466,3393,666,2727,2029.5
marls,FALSE,5659071,3310,772,2538,2041
brats,FALSE,5657528,3298,922,2376,2110
delts,FALSE,5657445,3359,640,2719,1999.5
manor,TRUE,5657420,3267,894,2373,2080.5
eskar,FALSE,5657074,3622,475,3147,2048.5
goras,FALSE,5657065,3337,756,2581,2046.5
taken,TRUE,5657016,3384,913,2471,2148.5
brant,FALSE,5656906,3230,1182,2048,2206
wales,FALSE,5656795,3425,853,2572,2139
taxer,FALSE,5656732,3506,995,2511,2250.5
amice,FALSE,5656710,3358,1021,2337,2189.5
upter,FALSE,5656463,3363,735,2628,2049
ergos,FALSE,5655915,3484,574,2910,2029
cloye,FALSE,5655901,3242,1070,2172,2156
spine,TRUE,5655377,3217,1299,1918,2258
goest,FALSE,5654995,3314,995,2319,2154.5
riced,FALSE,5654974,3358,799,2559,2078.5
horde,TRUE,5654965,3315,1004,2311,2159.5
rouls,FALSE,5654870,3233,747,2486,1990
ocher,FALSE,5654562,3393,620,2773,2006.5
trild,FALSE,5654550,3169,962,2207,2065.5
riems,FALSE,5654523,3456,588,2868,2022
lakes,FALSE,5654462,3433,758,2675,2095.5
vitae,FALSE,5654434,3428,943,2485,2185.5
staid,TRUE,5654336,3211,1026,2185,2118.5
staun,FALSE,5653698,3201,962,2239,2081.5
piles,FALSE,5653462,3315,810,2505,2062.5
eyots,FALSE,5652928,3431,514,2917,1972.5
heald,FALSE,5652828,3362,898,2464,2130
moras,FALSE,5652793,3335,748,2587,2041.5
lours,FALSE,5652678,3233,720,2513,1976.5
poets,FALSE,5652627,3360,773,2587,2066.5
saury,FALSE,5652202,3238,1351,1887,2294.5
valse,FALSE,5652169,3380,1054,2326,2217
thali,FALSE,5651990,3250,773,2477,2011.5
boars,FALSE,5651842,3304,947,2357,2125.5
psora,FALSE,5651702,3383,618,2765,2000.5
sined,FALSE,5651517,3241,1143,2098,2192
hosen,FALSE,5651450,3276,876,2400,2076
nache,FALSE,5651117,3342,849,2493,2095.5
trabs,FALSE,5650888,3298,783,2515,2040.5
comer,FALSE,5650205,3312,1068,2244,2190
owrie,FALSE,5649930,3407,830,2577,2118.5
taped,FALSE,5649924,3348,947,2401,2147.5
retch,TRUE,5649882,3387,749,2638,2068
groan,TRUE,5649795,3269,919,2350,2094
fries,FALSE,5649716,3365,1023,2342,2194
genas,FALSE,5649496,3433,695,2738,2064
marge,FALSE,5649421,3400,1074,2326,2237
fayre,FALSE,5649382,3426,1045,2381,2235.5
treif,FALSE,5648281,3414,777,2637,2095.5
sweat,TRUE,5647749,3444,1003,2441,2223.5
strag,FALSE,5647343,3331,810,2521,2070.5
story,TRUE,5647330,3212,1203,2009,2207.5
snake,TRUE,5647260,3335,1239,2096,2287
epact,FALSE,5647245,3426,845,2581,2135.5
beray,FALSE,5646928,3486,1105,2381,2295.5
pated,FALSE,5646722,3348,993,2355,2170.5
horst,FALSE,5646215,3174,935,2239,2054.5
tuans,FALSE,5646202,3201,860,2341,2030.5
estoc,FALSE,5645483,3462,362,3100,1912
toges,FALSE,5645387,3314,849,2465,2081.5
opine,TRUE,5645377,3272,974,2298,2123
rouge,TRUE,5645220,3323,1049,2274,2186
shyer,FALSE,5645054,3307,1069,2238,2188
diets,FALSE,5644878,3358,665,2693,2011.5
fayer,FALSE,5644478,3426,999,2427,2212.5
nabes,FALSE,5644377,3400,752,2648,2076
tidal,TRUE,5643879,3241,745,2496,1993
beard,TRUE,5643030,3439,992,2447,2215.5
krait,FALSE,5643026,3262,1005,2257,2133.5
theca,FALSE,5642611,3459,686,2773,2072.5
chair,TRUE,5642412,3220,1019,2201,2119.5
metol,FALSE,5642373,3342,748,2594,2045
pesto,TRUE,5641864,3360,661,2699,2010.5
fores,FALSE,5641838,3391,932,2459,2161.5
refit,TRUE,5641760,3414,783,2631,2098.5
canso,FALSE,5641688,3198,870,2328,2034
credo,TRUE,5641434,3384,769,2615,2076.5
noyes,FALSE,5641327,3314,699,2615,2006.5
delis,FALSE,5641295,3339,659,2680,1999
tomes,FALSE,5640799,3312,843,2469,2077.5
spade,TRUE,5640396,3299,1227,2072,2263
roach,TRUE,5640318,3246,982,2264,2114
lined,FALSE,5640035,3271,865,2406,2068
renig,FALSE,5639894,3390,685,2705,2037.5
haint,FALSE,5639334,3152,1074,2078,2113
feuar,FALSE,5639028,3466,918,2548,2192
weals,FALSE,5638693,3425,830,2595,2127.5
tynes,FALSE,5638691,3308,665,2643,1986.5
auric,FALSE,5638603,3298,679,2619,1988.5
prost,FALSE,5638401,3141,1077,2064,2109
ayont,FALSE,5638296,3216,843,2373,2029.5
speil,FALSE,5638150,3315,918,2397,2116.5
omers,FALSE,5637915,3482,444,3038,1963
troys,FALSE,5637822,3212,699,2513,1955.5
tyred,FALSE,5637448,3347,771,2576,2059
gamer,TRUE,5637046,3400,1010,2390,2205
turme,FALSE,5637036,3315,990,2325,2152.5
voter,TRUE,5636990,3382,963,2419,2172.5
legit,FALSE,5636515,3318,808,2510,2063
beaut,FALSE,5636252,3356,1057,2299,2206.5
orang,FALSE,5635967,3269,838,2431,2053.5
cains,FALSE,5635856,3172,986,2186,2079
shent,FALSE,5635333,3270,1122,2148,2196
dital,FALSE,5635037,3241,743,2498,1992
monte,FALSE,5634454,3244,1088,2156,2166
shirt,TRUE,5634268,3148,1181,1967,2164.5
onces,FALSE,5634263,3345,538,2807,1941.5
dream,TRUE,5634232,3470,760,2710,2115
apron,TRUE,5633777,3315,627,2688,1971
gruel,TRUE,5633493,3298,1021,2277,2159.5
mensa,FALSE,5633191,3431,723,2708,2077
drake,TRUE,5632926,3374,1164,2210,2269
olpes,FALSE,5632905,3341,654,2687,1997.5
apode,FALSE,5632634,3354,939,2415,2146.5
daint,FALSE,5632599,3143,1116,2027,2129.5
loins,FALSE,5632454,3136,851,2285,1993.5
olden,TRUE,5632354,3297,765,2532,2031
maron,FALSE,5632253,3267,836,2431,2051.5
prune,TRUE,5632002,3246,1180,2066,2213
diota,FALSE,5631969,3266,760,2506,2013
hones,FALSE,5631891,3276,841,2435,2058.5
tubae,FALSE,5631820,3356,979,2377,2167.5
orach,FALSE,5631634,3246,906,2340,2076
motes,FALSE,5631313,3312,851,2461,2081.5
diels,FALSE,5631218,3339,688,2651,2013.5
ardeb,FALSE,5631213,3439,812,2627,2125.5
leafs,FALSE,5630930,3438,708,2730,2073
cirls,FALSE,5630596,3198,761,2437,1979.5
lipes,FALSE,5630446,3315,702,2613,2008.5
crash,TRUE,5630347,3191,1082,2109,2136.5
patio,TRUE,5630342,3242,773,2469,2007.5
nerka,FALSE,5630216,3554,561,2993,2057.5
deash,FALSE,5630046,3332,970,2362,2151
douar,FALSE,5629915,3246,930,2316,2088
chela,FALSE,5629669,3440,745,2695,2092.5
brame,FALSE,5629400,3367,1239,2128,2303
orgia,FALSE,5628957,3366,597,2769,1981.5
youse,FALSE,5628865,3221,1045,2176,2133
hiant,FALSE,5628772,3152,1013,2139,2082.5
dures,FALSE,5628745,3338,814,2524,2076
biers,FALSE,5628155,3425,740,2685,2082.5
paoli,FALSE,5627098,3223,863,2360,2043
gluer,FALSE,5626898,3298,1011,2287,2154.5
rogue,TRUE,5626377,3323,957,2366,2140
tuina,FALSE,5626312,3230,847,2383,2038.5
hails,FALSE,5626296,3201,837,2364,2019
kores,FALSE,5626292,3386,816,2570,2101
clans,FALSE,5626271,3173,924,2249,2048.5
pelau,FALSE,5626196,3416,660,2756,2038
snipe,TRUE,5626097,3217,1193,2024,2205
paled,FALSE,5626038,3329,994,2335,2161.5
delay,TRUE,5625549,3400,992,2408,2196
yarco,FALSE,5624998,3284,683,2601,1983.5
pryse,FALSE,5624891,3274,1033,2241,2153.5
aspro,FALSE,5624640,3383,425,2958,1904
wries,FALSE,5624391,3352,970,2382,2161
wrest,TRUE,5624191,3372,951,2421,2161.5
bosie,FALSE,5623786,3261,1114,2147,2187.5
leaks,FALSE,5623465,3433,728,2705,2080.5
snoep,FALSE,5623453,3243,1071,2172,2157
owler,FALSE,5623074,3408,727,2681,2067.5
ering,FALSE,5623015,3390,828,2562,2109
ouens,FALSE,5623001,3354,622,2732,1988
thirl,FALSE,5622698,3178,867,2311,2022.5
draco,FALSE,5622687,3237,895,2342,2066
ragis,FALSE,5622187,3311,670,2641,1990.5
traik,FALSE,5621883,3262,994,2268,2128
andro,FALSE,5621090,3339,513,2826,1926
segol,FALSE,5621027,3295,963,2332,2129
curia,FALSE,5620968,3298,769,2529,2033.5
stroy,FALSE,5619808,3212,1102,2110,2157
carve,TRUE,5619782,3399,1135,2264,2267
brute,TRUE,5619720,3284,1168,2116,2226
matey,TRUE,5619355,3347,1204,2143,2275.5
pelts,FALSE,5619288,3335,671,2664,2003
caird,FALSE,5619024,3211,1038,2173,2124.5
uredo,FALSE,5618616,3393,604,2789,1998.5
monie,FALSE,5618304,3224,1107,2117,2165.5
negro,FALSE,5618276,3416,556,2860,1986
cants,FALSE,5618075,3192,816,2376,2004
pride,TRUE,5617951,3256,1168,2088,2212
nagor,FALSE,5617880,3269,752,2517,2010.5
orgue,FALSE,5617693,3323,881,2442,2102
ramis,FALSE,5617599,3309,664,2645,1986.5
datos,FALSE,5617481,3237,694,2543,1965.5
loads,FALSE,5617473,3218,779,2439,1998.5
conia,FALSE,5617379,3227,838,2389,2032.5
amuse,TRUE,5617229,3338,939,2399,2138.5
salop,FALSE,5617192,3194,970,2224,2082
plyer,FALSE,5616797,3304,902,2402,2103
shorl,FALSE,5616478,3155,1062,2093,2108.5
coley,FALSE,5616102,3242,1271,1971,2256.5
spaed,FALSE,5616079,3299,1170,2129,2234.5
spail,FALSE,5615931,3168,1048,2120,2108
lions,FALSE,5615748,3136,752,2384,1944
muter,FALSE,5615721,3315,934,2381,2124.5
wiser,TRUE,5615333,3352,895,2457,2123.5
acerb,FALSE,5615003,3517,521,2996,2019
goles,FALSE,5614901,3295,860,2435,2077.5
avise,FALSE,5614283,3379,1017,2362,2198
octas,FALSE,5613996,3315,391,2924,1853
rands,FALSE,5613916,3284,653,2631,1968.5
noils,FALSE,5613911,3136,780,2356,1958
isled,FALSE,5612238,3339,598,2741,1968.5
troak,FALSE,5611951,3288,936,2352,2112
serif,TRUE,5611938,3365,955,2410,2160
oaken,TRUE,5611596,3390,805,2585,2097.5
frail,TRUE,5611582,3248,1024,2224,2136
ergon,FALSE,5611567,3416,668,2748,2042
strew,FALSE,5611243,3372,941,2431,2156.5
thein,FALSE,5610877,3299,758,2541,2028.5
moles,FALSE,5610629,3293,852,2441,2072.5
nosed,FALSE,5610083,3267,832,2435,2049.5
aches,FALSE,5610038,3410,544,2866,1977
laxer,FALSE,5609830,3487,934,2553,2210.5
shola,FALSE,5609386,3227,980,2247,2103.5
caver,FALSE,5609298,3399,1081,2318,2240
gloat,TRUE,5609190,3197,976,2221,2086.5
dials,FALSE,5608999,3192,818,2374,2005
nards,FALSE,5608770,3284,609,2675,1946.5
scary,TRUE,5608546,3229,1229,2000,2229
grens,FALSE,5607562,3361,777,2584,2069
sayon,FALSE,5607498,3167,961,2206,2064
steak,TRUE,5607246,3452,896,2556,2174
avers,FALSE,5607077,3569,521,3048,2045
piets,FALSE,5606721,3334,696,2638,2015
surge,TRUE,5606434,3268,1215,2053,2241.5
brule,FALSE,5606060,3265,1191,2074,2228
lover,TRUE,5605896,3363,946,2417,2154.5
serow,FALSE,5605379,3378,920,2458,2149
lehua,FALSE,5605052,3449,485,2964,1967
flair,TRUE,5604987,3248,1014,2234,2131
halos,FALSE,5603532,3227,653,2574,1940
ulans,FALSE,5603453,3182,759,2423,1970.5
usage,TRUE,5603340,3340,856,2484,2098
debar,TRUE,5602915,3439,785,2654,2112
aweto,FALSE,5602847,3499,559,2940,2029
fetas,FALSE,5602786,3457,688,2769,2072.5
emirs,FALSE,5602744,3456,564,2892,2010
claut,FALSE,5602661,3129,1041,2088,2085
tansy,FALSE,5602192,3161,1127,2034,2144
wrast,FALSE,5601972,3225,1081,2144,2153
acker,FALSE,5601958,3452,723,2729,2087.5
cages,FALSE,5601887,3331,923,2408,2127
hoper,FALSE,5601878,3291,936,2355,2113.5
ropey,FALSE,5601862,3329,1124,2205,2226.5
acton,FALSE,5601838,3247,554,2693,1900.5
altho,FALSE,5601645,3276,539,2737,1907.5
trawl,TRUE,5601209,3255,904,2351,2079.5
nemas,FALSE,5601096,3431,539,2892,1985
idles,FALSE,5600822,3339,520,2819,1929.5
sweal,FALSE,5600759,3425,906,2519,2165.5
crays,FALSE,5600466,3229,811,2418,2020
smelt,TRUE,5599917,3287,996,2291,2141.5
hider,FALSE,5599769,3289,876,2413,2082.5
halts,FALSE,5599662,3221,660,2561,1940.5
tiges,FALSE,5599481,3288,772,2516,2030
apiol,FALSE,5598989,3223,756,2467,1989.5
tarok,FALSE,5598681,3288,861,2427,2074.5
loges,FALSE,5598485,3295,788,2507,2041.5
corbe,FALSE,5597976,3281,1088,2193,2184.5
gnarl,FALSE,5597848,3244,817,2427,2030.5
argon,FALSE,5597557,3269,737,2532,2003
cames,FALSE,5597299,3329,917,2412,2123
brain,TRUE,5597030,3210,1035,2175,2122.5
creak,TRUE,5596814,3452,918,2534,2185
onely,FALSE,5596802,3344,831,2513,2087.5
glade,TRUE,5596597,3283,1116,2167,2199.5
yeahs,FALSE,5596562,3379,619,2760,1999
korat,FALSE,5596016,3288,878,2410,2083
fires,FALSE,5595932,3365,855,2510,2110
flote,FALSE,5595897,3251,1144,2107,2197.5
doper,FALSE,5595143,3282,978,2304,2130
orfes,FALSE,5595046,3391,687,2704,2039
times,FALSE,5594893,3286,766,2520,2026
sport,TRUE,5594543,3141,1076,2065,2108.5
mahoe,FALSE,5594501,3315,976,2339,2145.5
paint,TRUE,5594442,3119,1147,1972,2133
boras,FALSE,5594368,3304,814,2490,2059
meaty,TRUE,5594229,3347,1159,2188,2253
lomes,FALSE,5593897,3293,782,2511,2037.5
urned,FALSE,5593827,3270,875,2395,2072.5
pried,TRUE,5593634,3256,1111,2145,2183.5
samey,FALSE,5593421,3298,1413,1885,2355.5
yeads,FALSE,5593409,3370,660,2710,2015
maist,FALSE,5593160,3139,1101,2038,2120
dalts,FALSE,5592927,3212,702,2510,1957
hades,FALSE,5592769,3332,802,2530,2067
tinge,FALSE,5592359,3220,990,2230,2105
crons,FALSE,5592358,3126,927,2199,2026.5
usher,TRUE,5592324,3347,588,2759,1967.5
dolia,FALSE,5592231,3247,724,2523,1985.5
rokes,FALSE,5591930,3386,750,2636,2068
lynes,FALSE,5591789,3289,604,2685,1946.5
frape,FALSE,5591702,3355,1184,2171,2269.5
longe,FALSE,5591363,3227,1006,2221,2116.5
barge,TRUE,5590996,3369,1140,2229,2254.5
pures,FALSE,5590588,3314,845,2469,2079.5
chile,FALSE,5590462,3178,1194,1984,2186
house,TRUE,5590067,3183,1108,2075,2145.5
whare,FALSE,5589817,3375,1110,2265,2242.5
ulyie,FALSE,5589809,3225,845,2380,2035
amens,FALSE,5589799,3431,574,2857,2002.5
gites,FALSE,5589679,3288,782,2506,2035
atony,FALSE,5589214,3216,1008,2208,2112
rudes,FALSE,5589119,3338,720,2618,2029
amirs,FALSE,5588734,3309,633,2676,1971
minar,FALSE,5587706,3241,823,2418,2032
agros,FALSE,5587422,3337,484,2853,1910.5
ketas,FALSE,5587240,3452,572,2880,2012
clues,FALSE,5587151,3227,918,2309,2072.5
pones,FALSE,5586999,3243,914,2329,2078.5
moten,FALSE,5586965,3244,945,2299,2094.5
erupt,TRUE,5586946,3363,807,2556,2085
larch,FALSE,5586930,3221,846,2375,2033.5
bread,TRUE,5586479,3439,898,2541,2168.5
chose,TRUE,5585897,3174,1181,1993,2177.5
pored,FALSE,5585756,3282,1020,2262,2151
shame,TRUE,5585608,3260,1309,1951,2284.5
trods,FALSE,5585533,3165,765,2400,1965
plats,FALSE,5585479,3188,825,2363,2006.5
mites,FALSE,5585407,3286,774,2512,2030
ratch,FALSE,5585364,3240,811,2429,2025.5
grans,FALSE,5585343,3214,907,2307,2060.5
hoary,FALSE,5584958,3215,1171,2044,2193
plant,TRUE,5584857,3120,1085,2035,2102.5
garbe,FALSE,5584817,3369,1030,2339,2199.5
hired,FALSE,5584742,3289,870,2419,2079.5
saree,FALSE,5584393,3420,1575,1845,2497.5
bayle,FALSE,5584190,3297,1092,2205,2194.5
arcus,FALSE,5583540,3269,582,2687,1925.5
fader,FALSE,5583535,3379,1045,2334,2212
splat,TRUE,5583495,3188,955,2233,2071.5
douse,FALSE,5583332,3174,1150,2024,2162
ankle,TRUE,5582899,3365,826,2539,2095.5
luger,FALSE,5582893,3298,871,2427,2084.5
dolce,FALSE,5582519,3195,1078,2117,2136.5
lathi,FALSE,5582166,3250,542,2708,1896
laids,FALSE,5582129,3192,763,2429,1977.5
actin,FALSE,5581818,3221,580,2641,1900.5
pails,FALSE,5581404,3168,910,2258,2039
spyre,FALSE,5581033,3274,1032,2242,2153
mealy,TRUE,5580569,3328,1182,2146,2255
acned,FALSE,5580531,3333,756,2577,2044.5
nodes,FALSE,5580384,3267,745,2522,2006
cutes,FALSE,5580246,3246,849,2397,2047.5
dines,FALSE,5579250,3241,806,2435,2023.5
poule,FALSE,5578940,3180,1172,2008,2176
rivet,TRUE,5578812,3356,927,2429,2141.5
pelon,FALSE,5578810,3273,758,2515,2015.5
skart,FALSE,5577756,3233,1088,2145,2160.5
smalt,FALSE,5577698,3140,1126,2014,2133
buret,FALSE,5577684,3284,1093,2191,2188.5
wetas,FALSE,5577461,3444,635,2809,2039.5
herma,FALSE,5577414,3479,606,2873,2042.5
spial,FALSE,5576799,3168,1012,2156,2090
dalis,FALSE,5576777,3192,721,2471,1956.5
finer,TRUE,5576751,3297,1007,2290,2152
alods,FALSE,5576264,3218,691,2527,1954.5
ahint,FALSE,5576152,3152,986,2166,2069
griot,FALSE,5576029,3124,1033,2091,2078.5
layin,FALSE,5575996,3171,709,2462,1940
shute,FALSE,5575928,3177,1238,1939,2207.5
maces,FALSE,5575731,3329,821,2508,2075
linac,FALSE,5575456,3202,623,2579,1912.5
leuco,FALSE,5575418,3282,705,2577,1993.5
coted,FALSE,5575414,3214,1024,2190,2119
geits,FALSE,5575115,3288,798,2490,2043
nepit,FALSE,5574617,3266,748,2518,2007
enorm,FALSE,5574149,3414,597,2817,2005.5
baron,TRUE,5573828,3236,902,2334,2069
daker,FALSE,5573253,3374,957,2417,2165.5
ramin,FALSE,5573251,3241,758,2483,1999.5
tunas,FALSE,5573139,3201,673,2528,1937
laree,FALSE,5572911,3450,1297,2153,2373.5
botes,FALSE,5572888,3281,917,2364,2099
linos,FALSE,5572637,3136,597,2539,1866.5
bairn,FALSE,5572150,3210,1025,2185,2117.5
corni,FALSE,5571774,3155,833,2322,1994
siver,FALSE,5571472,3307,1147,2160,2227
derma,FALSE,5570679,3470,648,2822,2059
wires,FALSE,5570607,3352,802,2550,2077
fleas,FALSE,5570512,3438,713,2725,2075.5
viler,FALSE,5570400,3337,887,2450,2112
creds,FALSE,5570396,3329,747,2582,2038
oints,FALSE,5570249,3155,557,2598,1856
meint,FALSE,5570221,3218,1050,2168,2134
sweir,FALSE,5570183,3352,957,2395,2154.5
boast,TRUE,5570079,3134,1183,1951,2158.5
tyros,FALSE,5570050,3212,503,2709,1857.5
scorn,TRUE,5570012,3126,932,2194,2029
fanes,FALSE,5569751,3340,933,2407,2136.5
octan,FALSE,5569648,3247,485,2762,1866
roman,FALSE,5569463,3267,738,2529,2002.5
shred,FALSE,5569084,3260,1109,2151,2184.5
festa,FALSE,5569032,3457,661,2796,2059
lints,FALSE,5568767,3130,604,2526,1867
crout,FALSE,5568748,3082,1044,2038,2063
sluit,FALSE,5568743,3037,1143,1894,2090
karst,FALSE,5568529,3233,911,2322,2072
fared,FALSE,5568508,3379,1039,2340,2209
tuber,TRUE,5568470,3284,922,2362,2103
cosey,FALSE,5567640,3212,1239,1973,2225.5
tamed,FALSE,5567469,3300,950,2350,2125
pleon,FALSE,5567220,3273,782,2491,2027.5
oaths,FALSE,5567154,3246,520,2726,1883
swart,FALSE,5567084,3225,1122,2103,2173.5
flite,FALSE,5566697,3225,1166,2059,2195.5
hosta,FALSE,5566654,3246,631,2615,1938.5
ryots,FALSE,5566522,3212,547,2665,1879.5
spent,TRUE,5566408,3237,1039,2198,2138
sofar,FALSE,5566114,3244,1045,2199,2144.5
laths,FALSE,5565672,3221,567,2654,1894
organ,TRUE,5565367,3269,668,2601,1968.5
spirt,FALSE,5565343,3115,1098,2017,2106.5
livre,FALSE,5564894,3337,915,2422,2126
nuder,FALSE,5564792,3270,828,2442,2049
miles,FALSE,5564723,3267,775,2492,2021
bluer,TRUE,5564201,3265,1069,2196,2167
antic,TRUE,5564106,3221,528,2693,1874.5
vales,FALSE,5563400,3380,813,2567,2096.5
unais,FALSE,5563153,3181,621,2560,1901
daric,FALSE,5563122,3211,767,2444,1989
